"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Gebäudekategorie";"Anzahl Zimmer";"Bauperiode";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"1 Zimmer";"1919-1945";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"1 Zimmer";"1946-1960";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"1 Zimmer";"1961-1970";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"1 Zimmer";"1971-1980";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"1 Zimmer";"1981-1990";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"1 Zimmer";"1991-2000";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"1 Zimmer";"2001-2005";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"1 Zimmer";"2006-2010";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"1 Zimmer";"2011-2015";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"1 Zimmer";"2016-2022";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"2 Zimmer";"Vor 1919";3;3;3;3;2;2;2;2;2;2;2;2;2
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"2 Zimmer";"1919-1945";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"2 Zimmer";"1946-1960";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"2 Zimmer";"1961-1970";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"2 Zimmer";"1971-1980";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"2 Zimmer";"1981-1990";1;1;1;1;1;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"2 Zimmer";"1991-2000";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"2 Zimmer";"2001-2005";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"2 Zimmer";"2006-2010";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"2 Zimmer";"2011-2015";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"2 Zimmer";"2016-2022";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"3 Zimmer";"Vor 1919";3;4;4;5;6;5;5;5;5;5;5;5;5
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"3 Zimmer";"1919-1945";2;2;2;2;2;2;2;2;2;2;2;2;2
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"3 Zimmer";"1946-1960";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"3 Zimmer";"1961-1970";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"3 Zimmer";"1971-1980";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"3 Zimmer";"1981-1990";2;2;2;2;2;2;2;2;2;2;2;2;2
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"3 Zimmer";"1991-2000";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"3 Zimmer";"2001-2005";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"3 Zimmer";"2006-2010";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"3 Zimmer";"2011-2015";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"3 Zimmer";"2016-2022";0;0;0;0;0;0;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"4 Zimmer";"Vor 1919";6;6;6;6;8;9;8;10;10;10;10;10;10
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"4 Zimmer";"1919-1945";2;2;2;2;2;2;2;2;2;2;2;2;2
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"4 Zimmer";"1946-1960";4;4;4;4;4;3;3;3;3;3;3;3;3
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"4 Zimmer";"1961-1970";2;2;2;2;2;2;2;2;2;2;2;2;2
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"4 Zimmer";"1971-1980";1;1;1;1;1;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"4 Zimmer";"1981-1990";3;3;3;3;3;3;3;3;3;3;3;3;3
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"4 Zimmer";"1991-2000";0;1;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"4 Zimmer";"2001-2005";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"4 Zimmer";"2006-2010";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"4 Zimmer";"2011-2015";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"4 Zimmer";"2016-2022";0;0;0;0;0;0;0;2;2;2;2;2;2
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"5 Zimmer";"Vor 1919";8;8;9;8;8;8;9;8;8;8;8;7;7
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"5 Zimmer";"1919-1945";1;1;1;1;1;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"5 Zimmer";"1946-1960";1;1;1;1;1;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"5 Zimmer";"1961-1970";1;1;1;1;1;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"5 Zimmer";"1971-1980";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"5 Zimmer";"1981-1990";3;3;3;3;3;3;3;3;3;3;3;3;3
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"5 Zimmer";"1991-2000";2;1;1;1;1;1;1;1;1;1;1;1;1
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"5 Zimmer";"2001-2005";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"5 Zimmer";"2006-2010";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"5 Zimmer";"2011-2015";0;0;0;0;0;0;0;0;0;0;0;0;0
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"5 Zimmer";"2016-2022";0;0;0;0;0;0;0;0;0;0;1;1;1
"......3201 Häggenschwil";"Wohngebäude mit Nebennutzung";"6+ Zimmer";"Vor 1919";34;34;32;32;30;30;29;28;28;28;28;28;28
