"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Haushaltsgrösse - Total";"1 Person";"2 Personen";"3 Personen";"4 Personen";"5 Personen";"6 oder mehr Personen"
"2015";"......3297 Vilters-Wangs";1874;535;623;247;320;112;37
"2015";"......3298 Walenstadt";2375;809;762;316;314;124;50
"2015";">> Wahlkreis See-Gaster";27781;8713;9619;3658;3943;1340;508
"2015";"......3311 Amden";800;279;301;89;89;27;15
"2015";"......3312 Benken (SG)";1123;285;386;155;186;79;32
"2015";"......3313 Kaltbrunn";1881;532;601;276;311;116;45
"2015";"......3315 Schänis";1498;393;523;222;230;90;40
"2015";"......3316 Weesen";710;261;245;74;85;33;12
"2015";"......3338 Schmerikon";1536;442;542;229;231;61;31
"2015";"......3339 Uznach";2492;709;839;330;383;163;68
"2015";"......3340 Rapperswil-Jona";12090;4209;4249;1518;1567;420;127
"2015";"......3341 Gommiswald";2088;644;755;253;274;116;46
"2015";"......3342 Eschenbach (SG)";3563;959;1178;512;587;235;92
"2015";">> Wahlkreis Toggenburg";18658;5869;6244;2280;2457;1179;629
"2015";"......3352 Ebnat-Kappel";2148;717;741;261;272;116;41
"2015";"......3359 Wildhaus-Alt St. Johann";1165;447;376;103;126;64;49
"2015";"......3360 Nesslau";1504;486;537;173;176;75;57
"2015";"......3372 Hemberg";346;91;129;35;38;32;21
"2015";"......3374 Lichtensteig";921;408;275;91;95;42;10
"2015";"......3375 Oberhelfenschwil";496;139;162;60;72;42;21
"2015";"......3378 Neckertal";1619;504;560;203;183;100;69
"2015";"......3379 Wattwil";3555;1171;1183;421;472;195;113
"2015";"......3392 Kirchberg (SG)";3466;996;1098;485;534;246;107
"2015";"......3393 Lütisburg";541;132;185;79;73;48;24
"2015";"......3394 Mosnang";1019;265;329;119;150;96;60
"2015";"......3395 Bütschwil-Ganterschwil";1878;513;669;250;266;123;57
"2015";">> Wahlkreis Wil";30885;9728;10405;3856;4423;1718;755
"2015";"......3401 Degersheim";1591;521;483;195;220;102;70
"2015";"......3402 Flawil";4389;1445;1461;534;622;226;101
"2015";"......3405 Jonschwil";1441;331;519;194;257;107;33
"2015";"......3407 Oberuzwil";2480;655;869;334;381;162;79
"2015";"......3408 Uzwil";5184;1549;1719;691;798;301;126
"2015";"......3422 Niederbüren";532;119;163;73;97;47;33
"2015";"......3423 Niederhelfenschwil";1075;218;341;173;201;103;39
"2015";"......3424 Oberbüren";1678;433;613;207;264;122;39
"2015";"......3426 Zuzwil (SG)";1923;479;711;264;332;105;32
"2015";"......3427 Wil (SG)";10592;3978;3526;1191;1251;443;203
"2016";"- St. Gallen";215902;73562;71676;27184;28077;10866;4537
"2016";">> Wahlkreis St. Gallen";55943;22214;17790;6519;6301;2244;875
"2016";"......3201 Häggenschwil";481;103;168;65;80;51;14
"2016";"......3202 Muolen";455;115;153;64;65;38;20
"2016";"......3203 St. Gallen";36616;16348;11124;4044;3426;1188;486
"2016";"......3204 Wittenbach";4226;1351;1486;562;569;195;63
"2016";"......3212 Eggersriet";912;230;335;131;140;57;19
"2016";"......3441 Andwil (SG)";723;170;248;100;128;50;27
"2016";"......3442 Gaiserwald";3514;1014;1258;442;575;164;61
"2016";"......3443 Gossau (SG)";7754;2607;2613;939;1081;373;141
"2016";"......3444 Waldkirch";1262;276;405;172;237;128;44
"2016";">> Wahlkreis Rorschach";18667;6478;6409;2296;2273;911;300
"2016";"......3211 Berg (SG)";315;61;130;36;46;31;11
"2016";"......3213 Goldach";4036;1371;1463;491;487;174;50
"2016";"......3214 Mörschwil";1378;329;490;209;226;93;31
"2016";"......3215 Rorschach";4516;2040;1323;463;429;182;79
"2016";"......3216 Rorschacherberg";3116;1006;1129;420;388;130;43
"2016";"......3217 Steinach";1593;544;554;206;206;75;8
"2016";"......3218 Tübach";572;157;211;62;88;41;13
"2016";"......3219 Untereggen";387;81;132;57;60;48;9
"2016";"......3237 Thal";2754;889;977;352;343;137;56
"2016";">> Wahlkreis Rheintal";29972;9317;10092;4012;4248;1624;679
"2016";"......3231 Au (SG)";3295;1144;1082;426;424;150;69
"2016";"......3232 Balgach";1958;585;713;273;261;98;28
"2016";"......3233 Berneck";1669;490;610;215;243;88;23
"2016";"......3234 Diepoldsau";2507;639;881;354;425;154;54
"2016";"......3235 Rheineck";1573;585;539;178;173;70;28
"2016";"......3236 St. Margrethen";2450;821;769;344;328;127;61
"2016";"......3238 Widnau";3896;1137;1307;563;594;212;83
"2016";"......3251 Altstätten";4900;1689;1634;588;590;282;117
"2016";"......3252 Eichberg";595;159;193;78;111;38;16
"2016";"......3253 Marbach (SG)";857;242;284;127;145;49;10
"2016";"......3254 Oberriet (SG)";3440;940;1114;499;565;206;116
"2016";"......3255 Rebstein";1892;611;641;233;268;91;48
"2016";"......3256 Rüthi (SG)";940;275;325;134;121;59;26
"2016";">> Wahlkreis Werdenberg";16141;5205;5328;2181;2141;848;438
"2016";"......3271 Buchs (SG)";5381;1935;1655;737;634;256;164
"2016";"......3272 Gams";1296;343;428;196;196;88;45
"2016";"......3273 Grabs";2824;832;956;393;412;158;73
"2016";"......3274 Sennwald";2347;732;846;294;318;117;40
"2016";"......3275 Sevelen";2119;693;705;287;269;107;58
"2016";"......3276 Wartau";2174;670;738;274;312;122;58
"2016";">> Wahlkreis Sarganserland";17060;5638;5663;2176;2281;947;355
"2016";"......3291 Bad Ragaz";2747;1101;900;307;295;108;36
"2016";"......3292 Flums";1988;652;583;268;290;136;59
"2016";"......3293 Mels";3440;984;1151;471;523;231;80
"2016";"......3294 Pfäfers";653;210;216;82;76;47;22
"2016";"......3295 Quarten";1272;444;461;154;129;64;20
"2016";"......3296 Sargans";2632;900;892;334;325;133;48
"2016";"......3297 Vilters-Wangs";1927;542;660;267;312;107;39
